symbol	fitch	fitch.summit
1810030O07Rik	0	0
8030462N17Rik	0	0
Aasdhppt	0	0
Acads	0	0
Acap1	0	0
Acot10	0.4260147618	0.4260147618
Actg1	0.1018542256	0.1018542256
Actn1	0.5936002935	0.5936002935
Actn2	0	0
Actr5	0	0
Adcy4	0	0
Add2	0.8856241503	0.8856241503
Add3	0.1604242516	0.1604242516
Adgra2	0	0
Adgrb3	0.1666350338	0.1666350338
Adprm	0	0
Adss	0	0
Adssl1	0.0991081849	0.0991081849
Agbl5	0.0995789404	0.0995789404
Ago3	0	0
Akap1	0.0991734881	0.0991734881
Alad	0.1112094326	0.1112094326
Aldh8a1	0.1617901629	0.1617901629
Alg10b	0.2874303682	0.2874303682
Alox12	0.5852734661	0.5852734661
Alox5	0	0
Alx1	0	0
Amph	0	0
Anapc10	0.1650746319	0.1650746319
Ank	0	0
Ankrd34b	0.8915111203	0.8915111203
Ankrd34c	0	0
Ankrd35	0.1426122369	0.1426122369
Apba2	0.557180433	0.557180433
Aqp2	0.5206633584	0.5206633584
Aqr	0	0
Areg	0.3329728902	0.3329728902
Arfgef3	0.2546897293	0.2546897293
Arhgap32	0.6446806616	0.6446806616
Arhgap35	0.1931658688	0.1931658688
Arl4d	0.2760009196	0.2760009196
Arrb2	0.2022959171	0.2022959171
Arrdc3	0	0
Aspm	1.4613349496	1.4613349496
Astn1	0	0
Asxl3	0.51517071115	0.4244643419
Atp10b	0.2162594213	0.2162594213
Atp1a2	0	0
Atp1a3	0	0
Atp2a2	0	0
Atp2c2	0	0
Atp6v0a1	0.9147168334	0.9147168334
Atp6v1a	0.1694877335	0.1694877335
Atp8a1	0.0873420038	0.0873420038
Avpr1a	0.1826897281	0.3653794562
Bcat1	0	0
Bcl2l1	0.8498244422	0.8498244422
Bfar	0.2793341605	0.2793341605
Bicd1	0	0
Bpifb4	0	0
Brinp1	0.1930758557	0.1930758557
Btbd16	0	0
C2cd5	0	0
Cabin1	0.0923679077	0.0923679077
Cacna1c	0	0
Calb2	0	0
Capn2	0	0
Card11	0.4008869624	0.4008869624
Carmil3	0	0
Cass4	0.0832927906	0.0832927906
Ccdc54	1.65221765205	1.0816240369
Ccin	0	0
Ccr4	0.2531120549	0.2531120549
Cd248	0	0
Cd63	0.3519296479	0.3519296479
Cdc37	0.2432269207	0.2432269207
Cdc42bpb	0	0
Cdc73	0	0
Cdcp1	0.31606439095	0.1403578311
Cdh12	0.0962406015	0.0962406015
Cdh4	0.37672031215	0.7534406243
Cdh5	0	0
Cdk13	0.09776185	0.09776185
Cdkn2aipnl	0.1092984211	0.1092984211
Celf1	0	0
Cemip2	0.17703089625	0.3540617925
Cep43	0.4305567874	0.4305567874
Cfap52	0.1427723769	0.1427723769
