sample	chr	outlier
S-MM-63	3	no
S-MM-17	4	no
S-MM-26	4	no
S-MM-25	6	no
S-MM-18	7	no
S-MM-71	7	no
S-MM-47	8	no
S-MM-60	8	no
S-MM-87	8	no
S-MM-23	9	no
S-MM-64	9	no
S-MM-77	9	no
S-MM-81	9	no
S-MM-36	10	no
S-MM-80	10	no
S-MM-89	10	no
S-MM-21	11	no
S-MM-34	12	no
S-MM-56	12	no
S-MM-3	13	no
S-MM-42	14	no
S-MM-51	14	no
S-MM-82	14	no
S-MM-38	15	no
S-MM-29	16	no
S-MM-59	16	no
S-MM-79	16	no
S-MM-45	18	no
S-MM-48	18	no
S-MM-52	18	no
S-MM-62	18	no
S-MM-68	18	no
S-MM-19	19	no
S-MM-49	19	no
S-MM-70	19	no
S-MM-76	19	no
S-MM-58	20	no
S-MM-69	20	no
S-MM-12	21	no
S-MM-20	21	no
S-MM-30	21	no
S-MM-83	21	no
S-MM-50	22	no
S-MM-55	22	no
S-MM-54	23	no
S-MM-88	23	no
S-MM-1	24	no
S-MM-16	24	no
S-MM-31	24	no
S-MM-41	24	no
S-MM-13	25	no
S-MM-84	25	no
S-MM-28	26	no
S-MM-32	27	no
S-MM-2	28	no
S-MM-9	28	no
S-MM-6	29	no
S-MM-66	30	no
S-MM-27	31	no
S-MM-61	35	no
S-MM-53	36	no
S-MM-14	40	no
S-MM-74	40	no
S-MM-75	42	no
S-MM-72	43	no
S-MM-7	44	no
S-MM-35	45	no
S-MM-90	48	no
S-MM-37	49	no
S-MM-67	49	no
S-MM-22	51	no
S-MM-92	52	no
S-MM-46	53	no
S-MM-15	58	no
S-MM-24	59	no
S-MM-33	59	no
S-MM-78	61	no
S-MM-8	81	no
S-MM-43	100	no
S-MM-40	105	no
S-MM-86	106	no
S-MM-4	107	no
S-MM-57	115	no
S-MM-65	182	no
S-MM-85	185	no
S-MM-39	204	no
S-MM-11	276	no
S-MM-5	321	hyper
S-MM-10	339	hyper
S-MM-73	368	hyper
S-MM-91	895	hyper
S-MM-44	1584	hyper
