symbol	score.1	score.2	score.3	score.4	score.5	score.6	score.7	score.8
Ctnnb1	5	1	1	8	8	34	45	39
Tmem247	0	NA	NA	0	0	0	0	0
Nell1	0	NA	NA	0	0	0	0	504
Dsc2	1	0	0.5	1	0	595	595	57
Mphosph9	0	NA	NA	0	0	0	0	1119
Gas8	1	0	1	1	0	134	134	135
Snw1	1	0	1	1	0	189	189	138
Arrdc3	1	0	1	1	0	188	188	141
Bcor	0	NA	NA	0	0	0	0	1611
Tmem203	0	NA	NA	0	0	0	0	18
Cenpq	0	NA	NA	0	0	0	0	191
Ift140	0	NA	NA	0	0	0	0	201
Irx4	0	NA	NA	0	0	0	0	228
Rb1	0	NA	NA	0	0	0	0	458
Kcnh8	0	NA	NA	0	0	0	0	695
Ferd3l	0	NA	NA	0	0	0	0	76
Csmd1	0	NA	NA	0	0	0	0	146
Olfr802	1	0	1	1	0	197	197	197
Gatad2b	0	NA	NA	0	0	0	0	30
Srebf2	0	NA	NA	0	0	0	0	221
Igsf9b	0	NA	NA	0	0	0	0	1029
Ceacam20	0	NA	NA	0	0	0	0	129
Ostf1	0	NA	NA	0	0	0	0	136
Rrnad1	0	NA	NA	0	0	0	0	193
Stk11	0	NA	NA	0	0	0	0	220
Pcdha11	0	NA	NA	0	0	0	0	30
Gadd45g	0	NA	NA	0	0	0	0	34
Slc45a2	0	NA	NA	0	0	0	0	484
Brf2	0	NA	NA	0	0	0	0	107
Deup1	0	NA	NA	0	0	0	0	46
Rcor2	0	NA	NA	0	0	0	0	465
Lpcat4	0	NA	NA	0	0	0	0	494
Ptpn6	0	NA	NA	0	0	0	0	7
Col11a2	0	NA	NA	0	0	0	0	934
Nlgn1	0	NA	NA	0	0	0	0	105
Pak5	0	NA	NA	0	0	0	0	551
Sec63	0	NA	NA	0	0	0	0	700
Pgap1	0	NA	NA	0	0	0	0	876
Dtl	0	NA	NA	0	0	0	0	344
Elp1	1	0	1	1	0	249	249	351
Vps35	1	0	0.5	1	0	125	125	553
Tmem266	0	NA	NA	0	0	0	0	219
Zfat	0	NA	NA	0	0	0	0	275
Hspa14	0	NA	NA	0	0	0	0	444
Olfr1497	0	NA	NA	0	0	0	0	6
Magee1	0	NA	NA	0	0	0	0	0
Trp53	0	NA	NA	0	0	0	0	188.4
Ssb	0	NA	NA	0	0	0	0	0
Tet2	0	NA	NA	0	0	0	0	0
Nfya	1	0	1	1	0	134	134	0
Tm2d3	0	NA	NA	0	0	0	0	0
Rnf121	0	NA	NA	0	0	0	0	0
Myo1g	0	NA	NA	0	0	0	0	0
Wdfy4	0	NA	NA	0	0	0	0	0
Prkaca	0	NA	NA	0	0	0	0	0
Hadha	0	NA	NA	0	0	0	0	0
Tln2	0	NA	NA	0	0	0	0	0
Polr1f	0	NA	NA	0	0	0	0	28
Hcfc2	0	NA	NA	0	0	0	0	0
Gpatch8	0	NA	NA	0	0	0	0	0
Slc4a11	0	NA	NA	0	0	0	0	0
A930017K11Rik	0	NA	NA	0	0	0	0	0
Hecw1	1	0	1	1	0	33	33	0
Mgat3	0	NA	NA	0	0	0	0	0
Aacs	0	NA	NA	0	0	0	0	0
Sh3bgrl2	0	NA	NA	0	0	0	0	0
Flnb	0	NA	NA	0	0	0	0	0
Gnb1	0	NA	NA	0	0	0	0	0
Gnas	1	0	0.5	1	0	201	201	0
Numbl	0	NA	NA	0	0	0	0	0
Ptgfr	0	NA	NA	0	0	0	0	0
Amt	0	NA	NA	0	0	0	0	0
Slc6a15	0	NA	NA	0	0	0	0	0
Krt17	1	0	1	1	0	68	68	0
Myocd	0	NA	NA	0	0	0	0	0
Dbn1	1	0	1	1	0	193	193	0
Stab2	0	NA	NA	0	0	0	0	1182.5
Adss	1	0	1	1	0	244	244	0
Fstl5	1	0	0.5	1	0	27	27	0
Fubp3	0	NA	NA	0	0	0	0	349
Ttc26	1	0	1	1	0	502	502	0
Rimbp2	0	NA	NA	0	0	0	0	719
Otx2	1	0	1	1	0	117	117	0
Mrps9	1	0	1	1	0	4	4	0
Raph1	1	0	1	1	0	875	875	0
Evi5l	0	NA	NA	0	0	0	0	251
Spta1	0	NA	NA	0	0	0	0	903
Kif7	0	NA	NA	0	0	0	0	549
Apob	0	NA	NA	0	0	0	0	4479
Tab3	1	0	1	1	0	165	165	0
Mchr1	1	0	1	1	0	25	25	0
Rab6a	1	0	1	1	0	31	31	0
Zfp639	1	0	1	1	0	366	366	0
Arhgap32	1	0	1	1	0	393	393	0
Rsf1	1	0	1	1	0	559	559	0
Fam43a	1	0	1	1	0	71	71	0
Smc3	1	0	0.25	1	0	202	202	0
Entpd4	1	0	0.5	1	0	80	80	0
Usp38	1	0	1	1	0	933	933	0
Nfe2	1	0	0.5	1	0	219	219	0
F13a1	1	0	1	1	0	519	519	0
Kdm4b	0	NA	NA	0	0	0	0	0
Rspo2	0	NA	NA	0	0	0	0	0
Pcdhb12	1	0	1	1	0	16	16	0
Phf20l1	1	0	1	1	0	252	252	0
Slc9a8	0	NA	NA	0	0	0	0	363
Lnpk	1	0	1	1	0	81	81	0
Zcchc17	1	0	1	1	0	140	140	0
Map2	1	0	1	1	0	189	189	0
Kctd19	1	0	1	1	0	259	259	0
Tom1	1	0	1	1	0	407	407	0
Gbp2b	0	NA	NA	0	0	0	0	78
Slf2	0	NA	NA	0	0	0	0	238
Rbm41	1	0	1	1	0	133	133	0
Agbl5	1	0	1	1	0	147	147	0
Gipc1	1	0	1	1	0	205	205	0
Ccr4	1	0	1	1	0	312	312	0
Gabrb2	1	0	1	1	0	337	337	0
Tulp4	1	1	1	2	2	343	352	0
Sacm1l	1	0	1	1	0	405	405	0
Xpc	1	0	1	1	0	416	416	0
Wdr59	1	0	1	1	0	598	598	0
Kng2	1	0	1	1	0	617	617	0
Dlec1	1	0	1	1	0	65	65	0
Jup	1	0	1	1	0	651	651	0
Fam124b	1	0	1	1	0	84	84	0
Otp	1	0	1	1	0	146	146	0
Cep43	1	0	1	1	0	228	228	0
Zmynd10	1	0	1	1	0	362	362	0
Vwf	1	0	0.5	1	0	398	398	0
Ipp	1	0	1	1	0	542	542	0
Clasp1	1	0	1	1	0	572	572	0
Pgap2	0	NA	NA	0	0	0	0	223
D630045J12Rik	0	NA	NA	0	0	0	0	822
Urb1	1	0	1	1	0	1378	1378	0
Dnah7b	1	0	1	1	0	2072	2072	0
