symbol	cds.id
Klhl3	ENSMUST00000160860
Lama3	ENSMUST00000092070
Rbl1	ENSMUST00000029170
Tacr3	ENSMUST00000029822
Tmem266	ENSMUST00000085754
Klhdc4	ENSMUST00000045884
Wdr7	ENSMUST00000072726
Tram1l1	ENSMUST00000058994
Glra1	ENSMUST00000075603
Ugp2	ENSMUST00000102875
Fam98a	ENSMUST00000234785
Stk11	ENSMUST00000003152
Grik5	ENSMUST00000003468
Ptgds	ENSMUST00000015234
Actn1	ENSMUST00000021554
Steap2	ENSMUST00000148333
Taok1	ENSMUST00000017435
Ikzf1	ENSMUST00000076700
Hkdc1	ENSMUST00000020277
Vps13d	ENSMUST00000036579
Psmc5	ENSMUST00000021049
Rcvrn	ENSMUST00000021290
Zkscan3	ENSMUST00000070785
Txndc16	ENSMUST00000143609
Med4	ENSMUST00000022705
Dcaf11	ENSMUST00000143375
Csmd3	ENSMUST00000162830
Msh2	ENSMUST00000024967
Prrc2a	ENSMUST00000025253
Mus81	ENSMUST00000124334
Ttc4	ENSMUST00000106772
Aasdhppt	ENSMUST00000051589
Sf3b1	ENSMUST00000027127
Cps1	ENSMUST00000027144
Marco	ENSMUST00000027639
Spta1	ENSMUST00000027817
Astn1	ENSMUST00000046110
Mark1	ENSMUST00000027929
Lhx6	ENSMUST00000112961
Elp1	ENSMUST00000030140
Tpm2	ENSMUST00000030184
Sgip1	ENSMUST00000106882
Foxp2	ENSMUST00000031545
Sds	ENSMUST00000066540
Pot1a	ENSMUST00000166445
Fezf1	ENSMUST00000031709
Tmtc1	ENSMUST00000100772
Pdcd5	ENSMUST00000118501
Cdh13	ENSMUST00000117160
Nectin1	ENSMUST00000034510
Gabrb3	ENSMUST00000039697
Acbd6	ENSMUST00000035560
Lrrc24	ENSMUST00000049956
Frmpd1	ENSMUST00000107804
Lrfn5	ENSMUST00000119481
Rab3gap1	ENSMUST00000037649
Trpm8	ENSMUST00000113114
P2ry14	ENSMUST00000196081
Spryd3	ENSMUST00000154032
Actr5	ENSMUST00000045644
Mc3r	ENSMUST00000038532
Plcb4	ENSMUST00000184371
Gas8	ENSMUST00000212923
Sema3d	ENSMUST00000197927
Hey1	ENSMUST00000042412
Erg	ENSMUST00000113848
Cdk13	ENSMUST00000042365
Serpina12	ENSMUST00000043915
Enc1	ENSMUST00000041623
E130308A19Rik	ENSMUST00000070150
Asxl3	ENSMUST00000239326
Sprr4	ENSMUST00000062129
Ferd3l	ENSMUST00000061035
Fat4	ENSMUST00000061260
Olfr685	ENSMUST00000051355
Frmpd4	ENSMUST00000112149
Olfr350	ENSMUST00000215100
Septin6	ENSMUST00000115239
Kcnb1	ENSMUST00000059826
Rufy4	ENSMUST00000127134
Hsd3b3	ENSMUST00000090743
Luzp2	ENSMUST00000082373
Olfr669	ENSMUST00000210138
H3c13	ENSMUST00000098843
Fibin	ENSMUST00000099626
Rc3h2	ENSMUST00000112934
Olfr671	ENSMUST00000078710
Gm19668	ENSMUST00000178581
Naaladl2	ENSMUST00000203414
Pcdhga3	ENSMUST00000073447
Muc16	ENSMUST00000034653
Col20a1	ENSMUST00000228434
Fbxo5	ENSMUST00000019907
Myocd	ENSMUST00000102635
Cfap52	ENSMUST00000021287
Adcy4	ENSMUST00000170223
Prkd3	ENSMUST00000003191
Cidea	ENSMUST00000025404
Pa2g4	ENSMUST00000026425
Egr3	ENSMUST00000225200
Zcchc3	ENSMUST00000099207
Ryr2	ENSMUST00000021750
Nup155	ENSMUST00000163765
Chmp4c	ENSMUST00000029049
Dnajc13	ENSMUST00000035170
Klhdc8b	ENSMUST00000193895
Exoc1	ENSMUST00000113493
Fbxo8	ENSMUST00000040218
Armc5	ENSMUST00000044660
Celf1	ENSMUST00000068726
Setdb1	ENSMUST00000015841
Cdc37	ENSMUST00000215296
Pygl	ENSMUST00000071250
Rb1	ENSMUST00000022701
Gnas	ENSMUST00000109087
Gmps	ENSMUST00000029405
Ephb1	ENSMUST00000035129
Ypel4	ENSMUST00000090729
Stab2	ENSMUST00000035288
Ipo11	ENSMUST00000080856
Olfr74	ENSMUST00000099840
Rnf17	ENSMUST00000095793
Scin	ENSMUST00000078481
Trpv4	ENSMUST00000071968
Stard13	ENSMUST00000110483
Sulf1	ENSMUST00000088585
Flt4	ENSMUST00000020617
Amph	ENSMUST00000200466
Srebf2	ENSMUST00000230955
Shisa9	ENSMUST00000170672
Dsc2	ENSMUST00000075214
Smc3	ENSMUST00000025930
Traf2	ENSMUST00000028311
Zc3h15	ENSMUST00000081591
