symbol	syn.obs	missense.obs	nonsense.obs	fs.obs	inframe.obs	max.missense	max.nonsense	max.prot	cds.id	length
1810030O07Rik	0	1	0	0	0	NA	NA	NA	ENSMUST00000060108	2889
8030462N17Rik	0	1	0	0	0	NA	NA	NA	ENSMUST00000237203	3600
A930017K11Rik	0	0	0	0	1	NA	NA	NA	ENSMUST00000162431	5148
Aacs	1	0	0	0	0	NA	NA	NA	ENSMUST00000031445	6057
Aasdhppt	0	1	0	0	0	NA	NA	NA	ENSMUST00000051589	2790
Acads	0	1	0	0	0	NA	NA	NA	ENSMUST00000031524	3717
Acap1	0	1	0	0	0	NA	NA	NA	ENSMUST00000001631	6669
Acbd6	1	0	0	0	0	NA	NA	NA	ENSMUST00000035560	2547
Acot10	0	1	0	0	0	NA	NA	NA	ENSMUST00000052910	3960
Actg1	0	1	0	0	0	NA	NA	NA	ENSMUST00000131103	1197
Actn1	0	1	0	0	0	NA	NA	NA	ENSMUST00000021554	8037
Actn2	0	1	0	0	0	NA	NA	NA	ENSMUST00000064204	8055
Actr5	0	1	0	0	0	NA	NA	NA	ENSMUST00000045644	5481
Acvr2b	1	0	0	0	0	NA	NA	NA	ENSMUST00000165044	4833
Ada	1	0	0	0	0	NA	NA	NA	ENSMUST00000017841	3177
Adcy4	0	1	0	0	0	NA	NA	NA	ENSMUST00000170223	9702
Add2	0	1	0	0	0	NA	NA	NA	ENSMUST00000203724	6534
Add3	0	1	0	0	0	NA	NA	NA	ENSMUST00000025999	6363
Adgra2	0	1	0	0	0	NA	NA	NA	ENSMUST00000033876	12033
Adgra3	0	0	0	1	0	NA	NA	NA	ENSMUST00000030971	11799
Adgrb3	0	1	0	0	0	NA	NA	NA	ENSMUST00000151309	13707
Adh5	1	0	0	0	0	NA	NA	NA	ENSMUST00000005964	3375
Adnp2	0	0	0	1	0	NA	NA	NA	ENSMUST00000066743	10494
Adprm	0	1	0	0	0	NA	NA	NA	ENSMUST00000116363	3069
Adra1b	1	0	0	0	0	NA	NA	NA	ENSMUST00000067258	4644
Adss	0	1	0	0	0	NA	NA	NA	ENSMUST00000016105	4113
Adssl1	0	1	0	0	0	NA	NA	NA	ENSMUST00000180015	4329
Agbl5	0	1	0	0	0	NA	NA	NA	ENSMUST00000202109	2304
Ago3	0	1	0	0	0	NA	NA	NA	ENSMUST00000069097	7749
Aicda	1	0	0	0	0	NA	NA	NA	ENSMUST00000043301	1791
Ajm1	1	0	0	0	0	NA	NA	NA	ENSMUST00000188161	8775
Akap1	0	1	0	0	0	NA	NA	NA	ENSMUST00000018572	7722
Alad	0	1	0	0	0	NA	NA	NA	ENSMUST00000107444	2979
Aldh8a1	0	1	0	0	0	NA	NA	NA	ENSMUST00000042699	4392
Alg10b	0	1	0	0	0	NA	NA	NA	ENSMUST00000100309	4275
Alox12	0	1	0	0	0	NA	NA	NA	ENSMUST00000108574	3519
Alox5	0	2	0	0	0	NA	NA	NA	ENSMUST00000026795	6075
Alx1	0	1	0	0	0	NA	NA	NA	ENSMUST00000167156	2943
Amph	0	1	0	0	0	NA	NA	NA	ENSMUST00000200466	6219
Amt	1	0	0	0	0	NA	NA	NA	ENSMUST00000035230	3636
Anapc10	0	1	0	0	0	NA	NA	NA	ENSMUST00000048147	1674
Angpt1	1	0	0	0	0	NA	NA	NA	ENSMUST00000022921	4491
Ank	0	1	0	0	0	NA	NA	NA	ENSMUST00000022875	4437
Ankrd34b	0	1	0	0	0	NA	NA	NA	ENSMUST00000168871	4581
Ankrd34c	0	1	0	0	0	NA	NA	NA	ENSMUST00000185470	4815
Ankrd35	0	1	0	0	0	NA	NA	NA	ENSMUST00000048427	8973
Aoc3	1	0	0	0	0	NA	NA	NA	ENSMUST00000103105	6894
Apba2	0	1	0	0	0	NA	NA	NA	ENSMUST00000032732	6759
Apob	0	0	0	1	0	NA	NA	NA	ENSMUST00000037520	40107
Appbp2	1	0	0	0	0	NA	NA	NA	ENSMUST00000018625	5274
Aqp2	0	1	0	0	0	NA	NA	NA	ENSMUST00000023752	2448
Aqr	0	1	0	0	0	NA	NA	NA	ENSMUST00000102543	12609
Areg	0	1	0	0	0	NA	NA	NA	ENSMUST00000031325	2241
Arfgef3	0	1	0	0	0	NA	NA	NA	ENSMUST00000019999	15390
Arhgap32	0	1	0	0	0	NA	NA	NA	ENSMUST00000174641	18810
Arhgap35	0	1	0	0	0	NA	NA	NA	ENSMUST00000171937	13500
Arl4d	0	1	0	0	0	NA	NA	NA	ENSMUST00000039388	1818
Armc5	0	0	0	1	0	NA	NA	NA	ENSMUST00000044660	8343
Arpc1b	1	0	0	0	0	NA	NA	NA	ENSMUST00000196111	3393
Arrb2	0	1	0	0	0	NA	NA	NA	ENSMUST00000108568	3798
Arrdc3	0	1	1	0	0	NA	NA	NA	ENSMUST00000159690	3294
Arvcf	0	0	0	1	0	NA	NA	NA	ENSMUST00000239536	8613
Asb4	1	0	0	0	0	NA	NA	NA	ENSMUST00000043294	3843
Asb8	0	0	0	1	0	NA	NA	NA	ENSMUST00000143400	2601
Aspm	0	1	0	0	0	NA	NA	NA	ENSMUST00000053364	28107
