symbol	syn.obs	missense.obs	nonsense.obs	fs.obs	inframe.obs	max.missense	max.nonsense	max.prot	cds.id	length	total.mut.cnt	prot.mut.cnt	total.mut.pct	prot.mut.pct	score.max_cnt	score.mult_pct	score.max_pct	max.peak.cnt	multiple.cnt	summit.start	summit.end	wt.stop	fitch	fitch.summit
1810030O07Rik	0	1	0	0	0	NA	NA	NA	ENSMUST00000060108	2889	1	1	0.0346140533056421	0.0346140533056421	1	0	1	0	0	162	162	0	0	0
8030462N17Rik	0	1	0	0	0	NA	NA	NA	ENSMUST00000237203	3600	1	1	0.0277777777777778	0.0277777777777778	1	0	1	0	0	176	176	0	0	0
A930017K11Rik	0	0	0	0	1	NA	NA	NA	ENSMUST00000162431	5148	1	0	0.0194250194250194	0	0	NA	NA	0	0	0	0	0	NA	NA
Aacs	1	0	0	0	0	NA	NA	NA	ENSMUST00000031445	6057	1	0	0.0165098233448902	0	0	NA	NA	0	0	0	0	0	NA	NA
Aasdhppt	0	1	0	0	0	NA	NA	NA	ENSMUST00000051589	2790	1	1	0.03584229390681	0.03584229390681	1	0	1	0	0	111	111	0	0	0
Acads	0	1	0	0	0	NA	NA	NA	ENSMUST00000031524	3717	1	1	0.0269034167339252	0.0269034167339252	1	0	1	0	0	331	331	0	0	0
Acap1	0	1	0	0	0	NA	NA	NA	ENSMUST00000001631	6669	1	1	0.0149947518368571	0.0149947518368571	1	0	1	0	0	529	529	0	0	0
Acbd6	1	0	0	0	0	NA	NA	NA	ENSMUST00000035560	2547	1	0	0.0392618767177071	0	0	NA	NA	0	0	0	0	0	NA	NA
Acot10	0	1	0	0	0	NA	NA	NA	ENSMUST00000052910	3960	1	1	0.0252525252525253	0.0252525252525253	1	0	1	0	0	21	21	0	0.4260147618	0.4260147618
Actg1	0	1	0	0	0	NA	NA	NA	ENSMUST00000131103	1197	1	1	0.0835421888053467	0.0835421888053467	1	0	1	0	0	81	81	0	0.1018542256	0.1018542256
Actn1	0	1	0	0	0	NA	NA	NA	ENSMUST00000021554	8037	1	1	0.0124424536518601	0.0124424536518601	1	0	1	0	0	602	602	0	0.5936002935	0.5936002935
Actn2	0	1	0	0	0	NA	NA	NA	ENSMUST00000064204	8055	1	1	0.0124146492861577	0.0124146492861577	1	0	1	0	0	362	362	0	0	0
Actr5	0	1	0	0	0	NA	NA	NA	ENSMUST00000045644	5481	1	1	0.0182448458310527	0.0182448458310527	1	0	1	0	0	263	263	0	0	0
Acvr2b	1	0	0	0	0	NA	NA	NA	ENSMUST00000165044	4833	1	0	0.0206910821435961	0	0	NA	NA	0	0	0	0	0	NA	NA
Ada	1	0	0	0	0	NA	NA	NA	ENSMUST00000017841	3177	1	0	0.0314762354422411	0	0	NA	NA	0	0	0	0	0	NA	NA
Adcy4	0	1	0	0	0	NA	NA	NA	ENSMUST00000170223	9702	1	1	0.010307153164296	0.010307153164296	1	0	1	0	0	344	344	0	0	0
Add2	0	1	0	0	0	NA	NA	NA	ENSMUST00000203724	6534	1	1	0.0153045607591062	0.0153045607591062	1	0	1	0	0	3	3	0	0.8856241503	0.8856241503
Add3	0	1	0	0	0	NA	NA	NA	ENSMUST00000025999	6363	1	1	0.0157158573000157	0.0157158573000157	1	0	1	0	0	262	262	0	0.1604242516	0.1604242516
Adgra2	0	1	0	0	0	NA	NA	NA	ENSMUST00000033876	12033	1	1	0.008310479514668	0.008310479514668	1	0	1	0	0	118	118	0	0	0
Adgra3	0	0	0	1	0	NA	NA	NA	ENSMUST00000030971	11799	1	1	0.00847529451648445	0.00847529451648445	0	NA	NA	0	0	0	0	992	NA	NA
Adgrb3	0	1	0	0	0	NA	NA	NA	ENSMUST00000151309	13707	1	1	0.00729554242357919	0.00729554242357919	1	0	1	0	0	405	405	0	0.1666350338	0.1666350338
Adh5	1	0	0	0	0	NA	NA	NA	ENSMUST00000005964	3375	1	0	0.0296296296296296	0	0	NA	NA	0	0	0	0	0	NA	NA
Adnp2	0	0	0	1	0	NA	NA	NA	ENSMUST00000066743	10494	1	1	0.00952925481227368	0.00952925481227368	0	NA	NA	0	0	0	0	146	NA	NA
